from,to,flight,st,ed,ast,aed,delta,status,time_need,time,delay
TSN,CKG,PN6238,1484920200,1484930700,1484920500,1484929800,,正常,7020,9300,0
KWL,CKG,G52654,1484919300,1484925300,1484925060,1484929980,180,正常,3300,4920,4680
CGO,CKG,PN6274,1484923200,1484930400,1484923440,1484930040,60,正常,4500,6600,0
NNG,CKG,ZH9373,1484918100,1484923800,1484925300,1484930160,120,正常,3720,4860,6360
SZX,CKG,3U8788,1484922600,1484930700,1484923680,1484930280,120,正常,4200,6600,0
ZUH,CKG,PN6366,1484922600,1484931000,1484923500,1484930460,180,正常,5640,6960,0
TAO,CKG,OQ2334,1484918100,1484928600,1484920860,1484930580,120,正常,7260,9720,1980
XMN,CKG,MF8471,1484918700,1484928600,1484922300,1484930700,120,正常,6600,8400,2100
KMG,CKG,OQ2358,1484920500,1484926500,1484927520,1484931120,420,正常,2220,3600,4620
PEK,CKG,SC1156,1484918700,1484929500,1484922060,1484931240,120,正常,6780,9180,1740
PVG,CKG,MU5433,1484917500,1484928900,1484921940,1484931360,120,正常,6840,9420,2460
CZX,CKG,3U8594,1484918400,1484928300,1484923800,1484931420,60,正常,5880,7620,3120
PEK,CKG,CA986,1484915400,1484926200,1484922720,1484931600,180,正常,6780,8880,5400
BAV,CKG,G52762,1484916900,1484925900,1484924280,1484931780,180,正常,5940,7500,5880
SYX,CKG,PN6224,1484924700,1484933400,1484924940,1484931900,120,正常,5580,6960,0
LHW,CKG,G52690,1484922300,1484928600,1484926620,1484932080,180,正常,4140,5460,3480
PVG,CKG,SC4950,1484921400,1484932500,1484922300,1484932200,120,正常,6840,9900,0
CAN,CKG,PN6206,1484924700,1484932800,1484926320,1484932260,60,正常,3120,5940,0
TNA,CKG,SC4768,1484920800,1484929800,1484924100,1484932500,240,正常,6060,8400,2700
PEK,CKG,3U8834,1484920800,1484931600,1484923680,1484932800,300,正常,6780,9120,1200
HGH,CKG,3U8936,1484921100,1484931000,1484923980,1484932920,120,正常,6300,8940,1920
SZX,CKG,OQ2312,1484922900,1484931300,1484926440,1484933100,180,正常,4200,6660,1800
TAO,CKG,3U8232,1484924100,1484934900,1484923920,1484933220,120,正常,7260,9300,0
KWE,CKG,G52676,1484926500,1484930700,1484930760,1484933340,120,正常,1980,2580,2640
SZX,CKG,PN6230,1484926200,1484934600,1484927280,1484933580,240,正常,4200,6300,0
TSN,CKG,3U8864,1484924100,1484934600,1484924940,1484933700,120,正常,7020,8760,0
CAN,CKG,PN6382,1484926800,1484934600,1484928120,1484933820,120,正常,3120,5700,0
XIY,CKG,PN6222,1484926800,1484932500,1484930400,1484934000,180,正常,2400,3600,1500
SZX,CKG,CA4346,1484923800,1484931900,1484928660,1484934900,900,正常,4200,6240,3000
NKG,CKG,PN6202,1484925300,1484934000,1484927940,1484935080,180,正常,5340,7140,1080
CSX,CKG,PN6232,1484927700,1484933400,1484930580,1484935140,60,正常,2460,4560,1740
CZX,CKG,MU2970,1484910000,1484919300,1484926620,1484935380,240,正常,5880,8760,16080
KHN,CKG,PN6344,1484926200,1484933400,1484929740,1484935860,480,正常,4620,6120,2460
WDS,CKG,G52910,1484920500,1484925600,1484932200,1484936160,300,正常,3660,3960,10560
