起飞机场,到达机场,航班号,计划起飞时间,计划到达时间,实际起飞时间,实际到达时间,状态,必要飞行时间,实际飞行时间,到达机场上空时间,实际与计划到达时间差,调度后与计划到达时间差,调度后降落时间
TSN,CKG,PN6238,1484920200,1484930700,1484920500,1484929800,正常,7020,9300,1484927520,900,120,1484930820
SZX,CKG,3U8788,1484922600,1484930700,1484923680,1484930280,正常,4200,6600,1484927880,420,120,1484930820
CGO,CKG,PN6274,1484923200,1484930400,1484923440,1484930040,正常,4500,6600,1484927940,360,240,1484930640
TAO,CKG,OQ2334,1484918100,1484928600,1484920860,1484930580,正常,7260,9720,1484928120,1980,1040,1484929640
KWL,CKG,G52654,1484919300,1484925300,1484925060,1484929980,正常,3300,4920,1484928360,4680,4400,1484929700
PVG,CKG,MU5433,1484917500,1484928900,1484921940,1484931360,正常,6840,9420,1484928780,2460,800,1484929700
PEK,CKG,SC1156,1484918700,1484929500,1484922060,1484931240,正常,6780,9180,1484928840,1740,3560,1484933060
XMN,CKG,MF8471,1484918700,1484928600,1484922300,1484930700,正常,6600,8400,1484928900,2100,260,1484928860
NNG,CKG,ZH9373,1484918100,1484923800,1484925300,1484930160,正常,3720,4860,1484929020,6360,1220,1484925020
ZUH,CKG,PN6366,1484922600,1484931000,1484923500,1484930460,正常,5640,6960,1484929140,540,6020,1484937020
PVG,CKG,SC4950,1484921400,1484932500,1484922300,1484932200,正常,6840,9900,1484929140,300,120,1484932620
CAN,CKG,PN6206,1484924700,1484932800,1484926320,1484932260,正常,3120,5940,1484929440,540,620,1484933420
PEK,CKG,CA986,1484915400,1484926200,1484922720,1484931600,正常,6780,8880,1484929500,5400,860,1484927060
CZX,CKG,3U8594,1484918400,1484928300,1484923800,1484931420,正常,5880,7620,1484929680,3120,1640,1484929940
KMG,CKG,OQ2358,1484920500,1484926500,1484927520,1484931120,正常,2220,3600,1484929740,4620,3500,1484930000
TNA,CKG,SC4768,1484920800,1484929800,1484924100,1484932500,正常,6060,8400,1484930160,2700,200,1484930000
BAV,CKG,G52762,1484916900,1484925900,1484924280,1484931780,正常,5940,7500,1484930220,5880,4160,1484930060
HGH,CKG,3U8936,1484921100,1484931000,1484923980,1484932920,正常,6300,8940,1484930280,1920,60,1484931060
PEK,CKG,3U8834,1484920800,1484931600,1484923680,1484932800,正常,6780,9120,1484930460,1200,480,1484932080
SYX,CKG,PN6224,1484924700,1484933400,1484924940,1484931900,正常,5580,6960,1484930520,1500,1280,1484934680
SZX,CKG,OQ2312,1484922900,1484931300,1484926440,1484933100,正常,4200,6660,1484930640,1800,120,1484931420
LHW,CKG,G52690,1484922300,1484928600,1484926620,1484932080,正常,4140,5460,1484930760,3480,1580,1484930180
TAO,CKG,3U8232,1484924100,1484934900,1484923920,1484933220,正常,7260,9300,1484931180,1680,2660,1484937560
CAN,CKG,PN6382,1484926800,1484934600,1484928120,1484933820,正常,3120,5700,1484931240,780,2300,1484936900
SZX,CKG,PN6230,1484926200,1484934600,1484927280,1484933580,正常,4200,6300,1484931480,1020,2060,1484936660
TSN,CKG,3U8864,1484924100,1484934600,1484924940,1484933700,正常,7020,8760,1484931960,900,1580,1484936180
