ed,aed,delay
2700,0,0
2400,240,0
-2700,360,4680
2700,480,0
600,780,1980
600,900,2100
-4200,1020,6360
3000,1140,0
1500,1440,1740
900,1560,2460
300,1680,3120
-1500,1740,4620
-1800,1800,5400
-2100,2220,5880
4500,2400,0
4800,2460,0
5400,2520,0
1800,2700,2700
600,2760,3480
3600,3000,1200
3000,3120,1920
3300,3300,1800
6900,3420,0
6600,3780,0
6600,3960,0
6600,4020,0
2700,4740,2640
4500,4800,1500
3900,5100,3000
6000,5280,1080
5400,5340,1740
-8700,5580,16080
5400,6360,2460
1800,7740,6540
-2400,7860,10560
2700,9480,8280
5400,16200,12300
30000,27120,0
30600,27360,0
30900,27960,0
30600,28500,0
32100,29400,0
32100,29520,0
31200,29820,420
32100,29820,0
31200,30060,660
32100,30240,0
31200,30420,1020
31500,30480,780
32700,30900,0
31500,30960,1200
32400,30960,0
33000,30960,0
33600,31020,0
32700,31080,0
33600,31560,0
33900,31560,0
33900,31620,0
32400,31740,720
34200,31800,0
35100,32340,0
33900,32760,660
34800,32940,0
35100,32940,0
35100,33300,0
36000,33480,0
34500,33600,360
34500,33660,480
35400,33660,60
34500,33720,0
35700,33780,0
36000,34440,120
34500,34560,1200
36600,35340,540
34800,35400,2160
39300,35640,0
38400,35820,0
37800,36000,0
38100,36120,0
38100,36240,0
37800,36360,360
39300,36540,0
36900,36720,1620
39000,36840,0
39300,37080,0
38700,37320,360
37500,37620,1260
39900,37800,0
40200,37920,0
40500,38280,0
35700,38400,3840
40200,38400,0
40800,38580,0
39900,38880,60
41700,39000,0
42000,39060,0
40500,39240,480
42300,39240,0
39000,39660,2460
38700,39840,2940
37800,40260,3960
40200,40500,2100
41400,40560,0
38100,40620,4320
43500,40620,0
43800,40680,0
41700,40740,840
41700,40860,960
41700,40980,1080
43500,41160,0
42300,41220,720
42300,41400,900
43200,41640,240
42900,41760,660
42600,42060,1260
45000,42180,0
43200,42300,900
45300,42420,0
43800,42540,540
45000,42540,0
44700,42660,0
44100,43080,780
44400,43260,660
44700,43320,0
45300,43380,0
44700,43500,600
45300,43680,180
44700,43860,960
45300,44280,780
45300,44340,0
45600,44340,240
46200,44400,0
46800,45120,0
47400,45180,0
48000,45480,0
49200,45720,0
46800,45840,600
47400,45840,240
47400,45960,0
48000,46260,60
47100,46380,1080
49500,46380,0
48300,46500,0
47100,46740,1440
48600,47040,0
49800,47040,0
50100,47400,0
46800,47940,1860
51600,48060,0
50100,48420,0
51000,49200,0
52800,49200,0
53100,49320,0
52800,49380,0
51600,49440,0
51300,49560,60
50700,49620,300
51300,49920,420
43800,50040,7680
50100,50100,540
52500,50220,0
51300,50460,960
46500,50640,5940
49500,50820,3120
52800,50940,0
50700,51000,2100
53700,51180,0
50400,51300,2700
50400,51420,2820
54000,51780,0
53400,51960,0
53100,52740,1440
53100,52860,420
54300,52860,0
55500,53040,0
55800,53100,0
50400,53160,4560
53100,53280,1980
52500,53460,1320
52500,53580,2880
54900,53700,600
55200,53700,0
53400,54060,2460
54900,54360,720
56400,54360,0
53400,54480,2880
56100,54600,0
56100,54720,420
54600,54900,1500
56100,54960,660
57600,55140,0
56400,55440,660
57900,55620,0
58200,55620,0
54000,55800,3600
59100,55980,0
57600,56100,0
58500,56100,0
54000,56280,4080
56400,56340,960
57300,56400,900
59100,56580,0
59700,56640,0
57000,56820,1620
57900,56880,0
59700,56940,0
60000,57060,0
57900,57180,1080
59400,57420,0
59400,57420,0
55800,58260,3720
56700,58260,3120
61200,58380,0
60600,58680,0
61500,58860,0
62100,59040,0
60900,59280,180
58800,59460,1560
62400,59580,0
58800,59760,2400
56700,59880,4980
61200,59880,0
61500,60120,300
56100,60240,5940
57300,60900,5400
64500,61500,0
63900,61860,0
64800,62160,0
65100,62520,0
61500,62700,3000
66000,62940,0
63600,63120,780
65100,63240,0
53700,63420,11340
63300,63420,1920
67500,63480,0
62700,63600,1380
64500,63660,960
66000,63720,0
65700,63780,0
65400,63900,0
60300,63960,5460
59700,64080,6180
64800,64200,1200
66300,64320,0
64500,64440,1740
66000,64620,420
54000,64800,12600
66900,65220,120
67800,65340,0
68400,65460,0
66000,65700,1260
69000,65820,0
69600,66180,0
68400,66240,0
64800,66300,2580
63600,66360,4560
67500,67080,360
68400,67080,480
70200,67200,0
67800,67500,1500
69000,67680,480
66300,67800,3300
67800,67980,1980
69900,68160,0
70800,68280,0
71100,68520,0
70800,69120,0
72600,69240,0
72300,69300,0
63600,69480,7680
68100,69720,3420
73500,69960,0
69600,70020,2160
72000,70080,0
70800,70440,1440
71100,70740,1440
72300,70980,480
65400,71280,7440
72000,71340,1020
74100,71460,0
72900,71640,240
73800,72180,180
74400,72300,0
73800,72540,540
75000,72600,0
71100,72660,3360
73200,72780,1380
74100,72780,0
68400,73140,6300
72600,73200,2400
75600,73200,0
71700,73500,3600
73200,73680,1980
75300,73680,0
75900,73740,0
76800,73980,0
73500,74040,1920
65700,74100,10200
71400,74520,4620
76500,74700,0
76800,74820,0
76500,74940,240
77700,74940,0
76800,75060,0
77700,75120,0
71100,75240,5940
71400,75420,5820
78000,75660,0
77100,75780,480
75600,75840,1740
74700,75960,3060
75300,76080,2580
70800,76260,7260
76500,76500,1800
79800,76500,0
79500,76620,0
77100,76920,1620
78900,77040,0
71700,77340,7440
71400,77520,7560
79200,77580,0
79200,77640,240
80100,77700,0
78900,77880,720
73500,78180,6360
72900,78420,7320
82200,78660,0
80100,78780,360
81300,78840,0
80100,78960,660
81300,79140,0
79200,79260,780
80700,79320,0
79500,79500,1800
81900,79560,0
84300,79680,0
79500,79980,2280
78900,80280,3180
82800,80400,0
81600,80640,720
81900,80640,540
83100,80760,0
83400,80760,0
82800,81000,0
77700,81060,5160
84000,81060,0
84900,81300,0
82200,81420,780
76200,81540,7020
80700,81540,2640
82500,81660,960
77100,81780,6480
81300,82020,2520
83100,82140,840
80100,82260,3960
83700,82320,420
84600,82740,0
85800,82800,0
85800,82980,0
84600,83160,0
86700,83640,0
86100,83700,0
86700,83940,0
85500,84120,420
85800,84120,0
85800,84300,300
87300,84600,0
86100,84660,360
84900,84780,1680
82200,84900,4500
87300,85080,0
87000,85200,0
86700,85260,0
87300,85560,60
89100,85620,0
84300,85680,2820
88200,85680,0
81900,85860,5640
86100,85920,1620
87900,86040,0
87600,86340,540
88500,86340,0
